model,run,loss_score,MAE,MSE,optimizer,loss,learning_rate,regularization,dropout,epochs,batch_size,model_type
jarvis_shuffled -> ael_bulk_modulus_vrh,test,330.35083961486816,54.081275939941406,5024.861328125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
atom2vec -> Egap,train,0.18633948293756275,0.3796633780002594,0.4448472559452057,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> Egap,val,0.2943702554702759,0.5159545540809631,0.7459032535552979,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> Egap,test,0.32322508422122603,0.5530086159706116,0.8515317440032959,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
oliynyk -> agl_log10_thermal_expansion_300K,train,0.02593236998011098,0.1762191355228424,0.05151437968015671,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
oliynyk -> agl_log10_thermal_expansion_300K,val,0.02513653805686368,0.17261061072349548,0.050431955605745316,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
oliynyk -> agl_log10_thermal_expansion_300K,test,0.02604387467727065,0.1792127639055252,0.05104571953415871,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
random_200 -> ael_bulk_modulus_vrh,train,7.600346440653181,7.522097110748291,176.047119140625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_bulk_modulus_vrh,val,26.82256974114312,26.625690460205078,1476.806884765625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_bulk_modulus_vrh,test,24.223310112953186,24.381738662719727,1287.8831787109375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
oliynyk -> ael_debye_temperature,train,128.41529036069267,128.19180297851562,39417.0703125,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> ael_debye_temperature,val,117.81131786770291,118.05735778808594,31494.0859375,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> ael_debye_temperature,test,125.65455775107107,125.09818267822266,37143.1015625,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
atom2vec -> ael_debye_temperature,train,24.675247470669042,23.149185180664062,2055.541015625,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
atom2vec -> ael_debye_temperature,val,57.46119944254557,56.084503173828125,6931.18017578125,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
atom2vec -> ael_debye_temperature,test,59.41943876204952,58.02505111694336,8206.68359375,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
magpie -> agl_thermal_conductivity_300K,train,4.194305680067542,4.660597324371338,107.0656967163086,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
magpie -> agl_thermal_conductivity_300K,val,4.290689335929023,4.613671779632568,115.62908935546875,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
magpie -> agl_thermal_conductivity_300K,test,4.585738226771355,4.997909069061279,119.43571472167969,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> agl_thermal_conductivity_300K,train,1.611607843369499,1.8572818040847778,30.358306884765625,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> agl_thermal_conductivity_300K,val,2.933118210898505,3.2129623889923096,49.75994110107422,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
